Scan Type,State/Territory,All Scans,Executive Order Number,Executive Order Year Enacted,Executive Order Summary,Executive Order Last Topic tag(s),Executive Order Last Updated,Executive Order Record URL,Bill Number,Legislative Session,Bill Title,Bill Summary,Bill Action tag(s) [multi],Bill Action tag(s) text,Bill Topic Tag(s) [multi],Bill Topic Tag(s) text,Bill Status,Bill Link,Bill Last Updated,Bill Record URL
Executive Order,Illinois,Executive Order 17-04 (2017),Executive Order 17-04 (2017),2017,EO 17-04 (2017) by Gov. Pat Quinn re: continuing and expanding successes in improving the state administrative proceedings achieved through pilots conducted within the Bureau of Administrative Hearings aimed at improving case processing with support from the Department of Innovation and Technology,case/application processing,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recSiEeyfRtklo3vH,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 14-06 (2014),Executive Order 14-06 (2014),2014,"EO 14-06 (2014) by Gov. Pat Quinn re: establishment of the Illinois Data Exchange Coordinating Council guide the design, development, and implementation of a statewide-integrated criminal justice environment that would enable automated information sharing in a common format between state, local and federal criminal justice agencies","criminal/legal system, interoperability, data sharing",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec8BwUwb5pWba3zh,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 18-08 (2018),Executive Order 18-08 (2018),2018,EO 18-08 (2018) by Gov. Jeff Colyer re: directive to the Department of Administration to create and manage a Kansas public notice website that is a centralized location for state agencies to post open meeting notices and meeting minutes,"website/portal, public records",8/22/2025 8:26am,https://airtable.com/appJHkVlGCmNLPLXL/shrgJGUVetGt8zzWW/tblFh8L3QnynXlssD/viwda1KinnFJMhmX4/recjK1ljy9BVB75SZ,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 23-04 (2022),Executive Order 23-04 (2022),2023,"EO 23-04 (2023) by Gov. JB Pritzker re: establishment of a ""Chief"" to oversee the Children’s Behavioral Health Transformation Initiative, which includes efforts like creating a centralized portal for families seeking services for children with significant and complex needs and implementing resource referral technology to enable families to more easily link to services in their communities, to be responsible for (among other things) planning for the implementation of appropriate technologies and promoting effective inter-agency collaboration and system integration to improve the behavioral health system for youth with significant needs","public health, website/portal, interoperability",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recoSJRP9Pg46Ep1g,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 14-06 (2014),Executive Order 14-06 (2014),2014,"EO 14-06 (2014) by Gov. Pat Quinn re: establishment of the Illinois Data Exchange Coordinating Council guide the design, development, and implementation of a statewide-integrated criminal justice environment that would enable automated information sharing in a common format between state, local and federal criminal justice agencies","criminal/legal system, interoperability, data sharing",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec8BwUwb5pWba3zh,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 18-08 (2018),Executive Order 18-08 (2018),2018,"EO 18-08 (2018) by Gov. Pat Quinn re: reforming the administration and eliminating the backlog of anti-discrimination and equal opportunity hearings at the human rights commission, directing (among other things) the Bureau of Administrative Hearings and the Department of Information Technology to implement modern, uniform filing and case management systems","case/application processing, technology modernization",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec5d9AADMyI5hevT,,,,,,,,,,,,
Executive Order,Illinois,Executive Order 16-06 (2016),Executive Order 16-06 (2016),2016,"EO 16-06 (2016) by Gov. Pat Quinn re: eliminating the backlog and delay in state administrative proceedings, directing the Bureau of Administrative Hearings to collaborate with state agencies to improve their case processing operations and ensure excellent customer service",case/application processing,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recAQEWtSknzCwTpm,,,,,,,,,,,,
Legislation,Illinois,S 1993,,,,,,,S 1993,2021,Workers Compensation Commission,"Amends the Department of Insurance Law of the Civil Administrative Code by transferring all powers, duties, rights, responsibilities, personnel, books, records, papers, documents, property, contracts, causes of action, and pending business of the Insurance Compliance Division within the Workers' Compensation Commission to the Department of Insurance. Deletes requirement for the fraud and insurance non-compliance unit to procure and implement a system utilizing advanced analytics inclusive of predictive modeling, data mining, social network analysis, and scoring algorithms for the detection and prevention of fraud, waste, and abuse on or before Jan. 1, 2012.",regulate use - government,regulate use - government,artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000S1993&ciq=heather.morton&client_md=e960050e67dab6d013bc7d16d7535f98&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec8QaUgtK2kZQQP4
Legislation,Illinois,H 5395,,,,,,,H 5395,2024,Network Adequacy and Transparency Act ,"Amends the Network Adequacy and Transparency Act; provides that the minimum ratio for each provider type shall be no less than any such ratio established for qualified health plans in federally-facilitated exchanges by federal law or by the federal Centers for Medicare and Medicaid Services, even if the network plan is issued in the large group market or is otherwise not issued through an exchange; provides that federal standards for stand-alone dental plans shall only apply to such network plans. ","regulate use - government,regulate use - private sector,regulate use - health","regulate use - government, regulate use - private sector, regulate use - health","artificial intelligence,public health","artificial intelligence, public health",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H5395&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recwuQbrk2KFAdhy8
Executive Order,Indiana,Executive Order 16-01 (2016),Executive Order 16-01 (2016),2016,EO 16-01 (2016) by Gov. Jay Inslee re: privacy protection and transparency in government and modernizing the state's approach to protection of personal data collected across agencies,data privacy,8/22/2025 8:27am,https://airtable.com/appJHkVlGCmNLPLXL/shrgJGUVetGt8zzWW/tblFh8L3QnynXlssD/viwda1KinnFJMhmX4/reclyUUdGNQhKiMEu,,,,,,,,,,,,
Executive Order,Indiana,Executive Order 16-01 (2016),Executive Order 16-01 (2016),2016,EO 16-01 (2016) by Gov. Mike Pence re: establishment of the Executive Council on Cybersecurity tasked with creating and maintaining a strategic framework document that defines high-level cybersecurity goals for the state as well as an implementation plan,cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recvPdFILVM9gdJXL,,,,,,,,,,,,
Legislation,Indiana,S 150,,,,,,,S 150,2024,Technology ,"Creates the Artificial Intelligence Task Force; provides that political subdivisions, state agencies, school corporations, and state educational institutions may adopt a technology resources policy and cybersecurity policy, subject to specified guidelines; provides that a person with which a state agency enters into a licensing contract for use of a software application designed to run on generally available desktop or server hardware may not restrict the hardware on which the agency runs the software. ","regulate use - government,task force/working group/commission/etc,study","regulate use - government, task force/working group/commission/etc, study",artificial intelligence,artificial intelligence,Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IN2024000S150&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recepYGw1KQmE5yZ2
Executive Order,Iowa,Executive Order 01 (2015),Executive Order 01 (2015),2018,"EO 01 (2018) by Gov. Kim Reynolds re: creation of the virtual Iowa Clearinghouse for Work-Based Learning to ensure access to high-quality, in-depth work-based learning","education, website/portal",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec3OqoRcKw0gaPLi,,,,,,,,,,,,
Executive Order,Iowa,Executive Order 01 (2015),Executive Order 01 (2015),2018,"EO 01 (2018) by Gov. Kim Reynolds re: creation of the virtual Iowa Clearinghouse for Work-Based Learning to ensure access to high-quality, in-depth work-based learning","education, website/portal",9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec3OqoRcKw0gaPLi,,,,,,,,,,,,
Executive Order,Iowa,Executive Order 87 (2015),Executive Order 87 (2015),2015,EO 87 (2015) by Gov. Terry Branstad re: directive to the Office of the Chief Information Officer to develop a State of Iowa Cybersecurity Strategy,cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec8G3faefTFqAM7r,,,,,,,,,,,,
Executive Order,Iowa,Executive Order 87 (2015),Executive Order 87 (2015),2015,EO 87 (2015) by Gov. Terry Branstad re: directive to the Office of the Chief Information Officer to develop a State of Iowa Cybersecurity Strategy,cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rec8G3faefTFqAM7r,,,,,,,,,,,,
Executive Order,Kansas,Executive Order 18-08 (2018),Executive Order 18-08 (2018),2018,EO 18-08 (2018) by Gov. Jeff Colyer re: directive to the Department of Administration to create and manage a Kansas public notice website that is a centralized location for state agencies to post open meeting notices and meeting minutes,"website/portal, public records",9/3/2025 2:55pm,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recjK1ljy9BVB75SZ,,,,,,,,,,,,
Executive Order,Kansas,Executive Order 18-08 (2018),Executive Order 18-08 (2018),2018,EO 18-08 (2018) by Gov. Jeff Colyer re: directive to the Department of Administration to create and manage a Kansas public notice website that is a centralized location for state agencies to post open meeting notices and meeting minutes,"website/portal, public records",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recjK1ljy9BVB75SZ,,,,,,,,,,,,
Executive Order,Kansas,Executive Order 20-67 (2020),Executive Order 20-67 (2020),2020,EO 20-67 (2020) by Gov. Kim Reynolds re: establishment of the Office of Broadband Development,broadband,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recyRP3Gx03hmVfb0,,,,,,,,,,,,
Executive Order,Kansas,Executive Order 20-67 (2020),Executive Order 20-67 (2020),2020,EO 20-67 (2020) by Gov. Kim Reynolds re: establishment of the Office of Broadband Development,broadband,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recyRP3Gx03hmVfb0,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2017-533 (2017),Executive Order 2017-533 (2017),2017,EO 2017-533 (2017) by Gov. Matthew Bevin re: reorganization of the Commonwealth Office of Technology to more efficiently and effectively carry out its statutory mission in a more cost-efficient manner,administrative reorganization,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recVuBuJn6wKptHnm,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2016-270 (2016),Executive Order 2016-270 (2016),2016,"EO 2016-270 (2016) by Gov. Matthew Bevin re: establishment of the Kentucky Communications Network Authority and the Board of the Kentucky Communication Network Authority to oversee and maintain the Commonwealth's open-access, broadband network known as ""KentuckyWired""",broadband,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rectxRmWBYIECuxQp,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2014-267 (2014),Executive Order 2014-267 (2014),2014,"EO 2014-267 (2014) by Gob. Steven Beshear re: establishment of the Office of the Kentucky Health Benefit Exchange and reorganization of the Cabinet for Health and Family Services to support operations and maintenance of the state's healthcare exchange platform (""kynect"") (amended 2015)","public health, website/portal",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recXddysY3yAkmynT,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2013-194 (2013),Executive Order 2013-194 (2013),2013,EO 2013-194 (2013) by Gov. Steven Beshear re: reorganization of the Commonwealth Office of Technology to centralize and streamline information technology service delivery,"administrative reorganization, information technology",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recsVCi3mNytKdXtX,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2014-267 (2014),Executive Order 2014-267 (2014),2014,"EO 2014-267 (2014) by Gob. Steven Beshear re: establishment of the Office of the Kentucky Health Benefit Exchange and reorganization of the Cabinet for Health and Family Services to support operations and maintenance of the state's healthcare exchange platform (""kynect"") (amended 2015)","public health, website/portal",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recXddysY3yAkmynT,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2017-533 (2017),Executive Order 2017-533 (2017),2017,EO 2017-533 (2017) by Gov. Matthew Bevin re: reorganization of the Commonwealth Office of Technology to more efficiently and effectively carry out its statutory mission in a more cost-efficient manner,administrative reorganization,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recVuBuJn6wKptHnm,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2016-270 (2016),Executive Order 2016-270 (2016),2016,"EO 2016-270 (2016) by Gov. Matthew Bevin re: establishment of the Kentucky Communications Network Authority and the Board of the Kentucky Communication Network Authority to oversee and maintain the Commonwealth's open-access, broadband network known as ""KentuckyWired""",broadband,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/rectxRmWBYIECuxQp,,,,,,,,,,,,
Executive Order,Kentucky,Executive Order 2013-194 (2013),Executive Order 2013-194 (2013),2013,EO 2013-194 (2013) by Gov. Steven Beshear re: reorganization of the Commonwealth Office of Technology to centralize and streamline information technology service delivery,"administrative reorganization, information technology",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recsVCi3mNytKdXtX,,,,,,,,,,,,
Executive Order,Louisiana,Executive Order 19-15 (2019),Executive Order 19-15 (2019),2019,"EO 19-15 (2019) by Gov. John Bel Edwards re: establishment of the Broadband for Everyone in Louisiana Commission (amended 2019, 2020, 2022)",broadband,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZhRy6oHX6gMMXd,,,,,,,,,,,,
Executive Order,Louisiana,Executive Order 17-31 (2017),Executive Order 17-31 (2017),2017,"EO 17-31 (2017) by Gov. John Bel Edwards re: establishment of the Cybersecurity Commission to coordinate cybersecurity efforts among state, local, tribal, private, academic, and other relevant entities across the public and private sectors (amended  2019, 2022)",cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recruXY82zBuV8KDa,,,,,,,,,,,,
Executive Order,Louisiana,Executive Order 17-31 (2017),Executive Order 17-31 (2017),2017,"EO 17-31 (2017) by Gov. John Bel Edwards re: establishment of the Cybersecurity Commission to coordinate cybersecurity efforts among state, local, tribal, private, academic, and other relevant entities across the public and private sectors (amended  2019, 2022)",cybersecurity,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recruXY82zBuV8KDa,,,,,,,,,,,,
Executive Order,Louisiana,Executive Order 19-15 (2019),Executive Order 19-15 (2019),2019,"EO 19-15 (2019) by Gov. John Bel Edwards re: establishment of the Broadband for Everyone in Louisiana Commission (amended 2019, 2020, 2022)",broadband,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recZhRy6oHX6gMMXd,,,,,,,,,,,,
Legislation,Maine,LD 353,,,,,,,LD 353,2025,"Resolve, to Establish the Commission to Recommend Methods for Preventing Deed Fraud in the State","Resolve, to Establish the Commission to Recommend Methods for Preventing Deed Fraud in the State",regulate use - government,regulate use - government,data privacy,data privacy,Enacted,https://legiscan.com/ME/bill/LD353/2025,9/29/2025 2:41pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recm5FKfpAWfclXN6
Legislation,Maine,H 1199,,,,,,,H 1199,2022,Equity in Policy Making,"Establishes data governance program; provides that the secretary of state, or the secretary’s designee, and the chief information officer shall consult with the Permanent Commission on the Status of Racial, Indigenous and Tribal Populations and the state archivist; appropriates funds.",regulate use - government,regulate use - government,"artificial intelligence,data governance","artificial intelligence, data governance",Enacted,https://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP1199&item=5&snum=130,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec2rxOff2ydzgWHj
Executive Order,Maryland,Executive Order 01-01-2018-02 (2018),Executive Order 01-01-2018-02 (2018),2018,"EO 01-01-2018-02 (2018) by Gov. Lawrence Hogan, Jr. re: directive to all state units and agencies to prominently display information on the homepage of their websites regarding the National Human Trafficking Hotline and the BeFree Textline","website/portal, human trafficking",9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recW6MKsjMgRkQ47R,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2019-07 (2019),Executive Order 01-01-2019-07 (2019),2019,"EO 01-01-2019-07 (2019) by Gov. Lawrence Hogan, Jr. re: establishment of Cybersecurity Initiative to to manage the consequences of a cybersecurity incident, including the creation of a State Chief Information Security Officer and Office of Security Management responsible for (among other things) assisting in the development of a digital identity standard",cybersecurity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recBcKK1heEoKACNo,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2021-11 (2021),Executive Order 01-01-2021-11 (2021),2021,"EO 01-01-2021-11 (2021) by Gov. Lawrence Hogan, Jr. re: the Maryland Total Human-Services Integrated Network, including directive to develop, maintain, and operate a platform to support transformation of the state's interactions with families, mitigate multigenerational poverty, and promote family wellbeing via the delivery of health and human services (amended 2022)","website/portal, benefits/human services",9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recWppatlkrIcwowN,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2018-02 (2018),Executive Order 01-01-2018-02 (2018),2018,"EO 01-01-2018-02 (2018) by Gov. Lawrence Hogan, Jr. re: directive to all state units and agencies to prominently display information on the homepage of their websites regarding the National Human Trafficking Hotline and the BeFree Textline","website/portal, human trafficking",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recW6MKsjMgRkQ47R,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2017-14 (2017),Executive Order 01-01-2017-14 (2017),2017,"EO 01-01-2017-14 (2017) by Gov. Lawrence Hogan, Jr. re: establishment of the Office of Rural Broadband",broadband,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recXwujsSxvwvj2DS,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2019-07 (2019),Executive Order 01-01-2019-07 (2019),2019,"EO 01-01-2019-07 (2019) by Gov. Lawrence Hogan, Jr. re: establishment of Cybersecurity Initiative to to manage the consequences of a cybersecurity incident, including the creation of a State Chief Information Security Officer and Office of Security Management responsible for (among other things) assisting in the development of a digital identity standard",cybersecurity,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recBcKK1heEoKACNo,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2017-14 (2017),Executive Order 01-01-2017-14 (2017),2017,"EO 01-01-2017-14 (2017) by Gov. Lawrence Hogan, Jr. re: establishment of the Office of Rural Broadband",broadband,9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recXwujsSxvwvj2DS,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2021-10 (2021),Executive Order 01-01-2021-10 (2021),2021,"EO 01-01-2021-10 (2021) by Gov. Lawrence Hogan, Jr. re: establishment of data privacy regulations for physical and digital personally identifiable information",digital identity,9/3/2025 11:29am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recazLAPeXO2htnsD,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2021-11 (2021),Executive Order 01-01-2021-11 (2021),2021,"EO 01-01-2021-11 (2021) by Gov. Lawrence Hogan, Jr. re: the Maryland Total Human-Services Integrated Network, including directive to develop, maintain, and operate a platform to support transformation of the state's interactions with families, mitigate multigenerational poverty, and promote family wellbeing via the delivery of health and human services (amended 2022)","website/portal, benefits/human services",9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recWppatlkrIcwowN,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01.01.2024.25,Executive Order 01.01.2024.25,2024,"EO Executive Order 01.01.2024.25 (2024) by Gov. Wes Moore re: creating an accessible, inclusive government that all Marylanders can easily access and to removing barriers that prevent engagement with government and access to public services via the use of plain language","digital service team, plain language",9/3/2025 11:32am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDmDflRIxeZM2nl,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01-01-2021-10 (2021),Executive Order 01-01-2021-10 (2021),2021,"EO 01-01-2021-10 (2021) by Gov. Lawrence Hogan, Jr. re: establishment of data privacy regulations for physical and digital personally identifiable information",digital identity,9/25/2025 6:26am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recazLAPeXO2htnsD,,,,,,,,,,,,
Executive Order,Maryland,Executive Order 01.01.2024.25,Executive Order 01.01.2024.25,2024,"EO Executive Order 01.01.2024.25 (2024) by Gov. Wes Moore re: creating an accessible, inclusive government that all Marylanders can easily access and to removing barriers that prevent engagement with government and access to public services via the use of plain language","digital service team, plain language",9/25/2025 6:28am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recDmDflRIxeZM2nl,,,,,,,,,,,,
Legislation,Maryland,S 1068,,,,,,,S 1068,2024,Evaluation and Development of a 3-1-1 Portal,States the intent of the General Assembly that the Department of Information Technology evaluate the feasibility of creating a 3-1-1 portal utilizing AI and that the Department prioritize the creation of the portal if feasible.,regulate use - government,regulate use - government,"artificial intelligence,website/portal","artificial intelligence, website/portal",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2024000S1068&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recNvmz2d2viPptZy
Legislation,Maryland,H 1205,,,,,,,H 1205,2022,State Government Information Technology,"Requires a certain water or sewer system to, on or before a certain date, assess its vulnerability to a cyberattack, develop a cybersecurity plan if appropriate, and submit a certain report to the General Assembly; requires the Department of Information Technology to annually evaluate the feasibility of units of state government providing public services using artificial intelligence, machine learning, commercial cloud computing services, device-as-a-service procurement models, and other emerging technologies.",regulate use - government,regulate use - government,"artificial intelligence,water/energy,cybersecurity","artificial intelligence, water/energy, cybersecurity",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2022000H1205&ciq=heather.morton&client_md=fa87787e4773610dc42b8af66d1ad1e8&mode=current_text,9/3/2025 12:32pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recRc4bNA3ywsjU85
Legislation,Maryland,H 1390,,,,,,,H 1390,2024,Public School Construction Funding and Administration ,"Establishes the state share for certain school construction projects that meet certain criteria; repeals the provision of law that established the intent of the General Assembly that a new Workgroup on the Assessment and Funding of School Facilities be formed on or before a certain date; repeals certain requirements for the Prince George's County Board of Education relating to a certain public-private partnership agreement; requires the Interagency Commission on School Construction, on or before Dec. 15, 2024, to report to the General Assembly on the eligibility for school construction funding for AI weapon detection systems.","regulate use - government,task force/working group/commission/etc","regulate use - government, task force/working group/commission/etc","artificial intelligence,education,public safety","artificial intelligence, education, public safety",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2024000H1390&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/rec85Ff2IkUSNR8gs
Legislation,Maryland,H 49,,,,,,,H 49,2020,Pretrial Risk Assessment Instruments,Requires a jurisdiction that uses an instrument to assist in determining the eligibility for pretrial release of an individual charged with a crime to have an independent validation study of the instrument conducted within a certain time period; makes an independent validation study eligible for certain grant funding.,regulate use - government,regulate use - government,"artificial intelligence,criminal/legal system,public safety","artificial intelligence, criminal/legal system, public safety",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2020000H49&ciq=ncsl&client_md=c86b5902ce72fdc5a3743397582df08f&mode=current_text,9/3/2025 12:31pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recO3ZvDZyjCdbH5j
Legislation,Maryland,S 818,,,,,,,S 818,2024,Artificial Intelligence Governance Act of 2024,Requires each unit of state government to conduct certain inventories and assessments; requires the Department of Information Technology to conduct certain monitoring and adopt certain policies and procedures; prohibits a unit of state government from implementing or using a system that employs AI under certain circumstances; establishes the Governor's Artificial Intelligence Subcabinet of the Governor's Executive Council. ,"regulate use - government,oversight/governence,administrative reorganization,study","regulate use - government, oversight/governence, administrative reorganization, study","artificial intelligence,civil rights,education","artificial intelligence, civil rights, education",Enacted,https://custom.statenet.com/public/resources.cgi?id=ID:bill:MD2024000S818&cuiq=93d84396-c63b-526a-b152-38b7f79b4cfd&client_md=e4f6fea4-27b4-5d41-b7d3-766fe52569f0,9/3/2025 12:35pm,https://airtable.com/appo1YECtG1ULR8vU/shrhz4YBjRjvAS4hF/tbl2tL08FmzPrXgT2/recUovfpSzfArMhaH
Executive Order,Massachusetts,Executive Order 549 (2014),Executive Order 549 (2014),2014,"EO 549 (2014) by Gov. Deval Patrick re: achieving greater efficiency and cost-effectiveness by further coordinating and centralizing the management and operation of the Executive Department's information technology systems and improving the procurement and implementation of information technologies (rescinded, 2019)","administrative reorganization, information technology, procurement",9/3/2025 11:30am,https://airtable.com/appo1YECtG1ULR8vU/shrEIsJmUwXgiGlIT/tblFh8L3QnynXlssD/recllKoOR1uqhDBWd,,,,,,,,,,,,
